CN,JAC,AA,PA,TN,PG,Katz,Random Walk with Restart,label
0,0.0,0.0,12,8,-14.640192677762387,0.0,-9.210340371976182,0
0,0.0,0.0,1,2,-14.926725608853367,0.0,-9.210340371976182,0
0,0.0,0.0,4,5,-14.005882485118272,0.0,-9.210340371976182,0
0,0.0,0.0,4,4,-14.657729822568541,0.0,-9.210340371976182,0
0,0.0,0.0,6,5,-14.601450398151012,0.0,-9.210340371976182,0
0,0.0,0.0,3,4,-14.843473170279722,0.0,-9.210340371976182,0
0,0.0,0.0,42,23,-12.649132508638356,0.0,-9.210340371976182,0
0,0.0,0.0,6,5,-14.265003740237809,0.0,-9.210340371976182,0
0,0.0,0.0,75,20,-14.177272187679801,0.0,-9.210340371976182,0
0,0.0,0.0,6,7,-14.482180813519795,0.0,-9.210340371976182,0
0,0.0,0.0,1,2,-16.882096498889524,3.9996441175942864e-56,-9.210340371976173,0
0,0.0,0.0,14,9,-13.460502677662925,0.0,-9.210340371976182,0
0,0.0,0.0,24,10,-14.389990033894986,0.0,-9.210340371976182,0
0,0.0,0.0,6,5,-14.649302349099912,0.0,-9.210340371976182,0
0,0.0,0.0,2,3,-14.442210196364991,0.0,-9.210340371976182,0
0,0.0,0.0,12,7,-14.62636267432868,0.0,-9.210340371976182,0
0,0.0,0.0,12,7,-14.299170602164821,0.0,-9.210340371976182,0
0,0.0,0.0,2,3,-15.63679143780353,0.0,-9.210340371976182,0
0,0.0,0.0,3,4,-14.714172463365784,0.0,-9.210340371976182,0
0,0.0,0.0,3,4,-14.817836232936347,0.0,-9.210340371976182,0
0,0.0,0.0,3,4,-15.786606275153249,3.999722810978322e-42,-9.210340371386826,0
0,0.0,0.0,6,5,-14.87617882782531,0.0,-9.210340371976182,0
0,0.0,0.0,28,16,-12.88664704990519,0.0,-9.210340371976182,0
0,0.0,0.0,24,14,-13.666340999445042,0.0,-9.210340371976182,0
0,0.0,0.0,5,6,-14.392965530062975,0.0,-9.210340371976182,0
0,0.0,0.0,48,16,-13.552817686908483,0.0,-9.210340371976182,0
0,0.0,0.0,2,3,-14.714172463365784,0.0,-9.210340371976182,0
0,0.0,0.0,9,6,-14.633457463985604,0.0,-9.210340371976182,0
0,0.0,0.0,42,13,-14.147443000396759,0.0,-9.210340371976182,0
0,0.0,0.0,18,9,-14.838244343207123,0.0,-9.210340371976182,0
0,0.0,0.0,30,13,-13.238733301267885,0.0,-9.210340371976182,0
0,0.0,0.0,8,6,-15.106508807396132,9.999216034582558e-50,-9.210340371976162,0
0,0.0,0.0,5,6,-14.611964999633162,0.0,-9.210340371976182,0
0,0.0,0.0,28,16,-14.607743740292332,0.0,-9.210340371976182,0
0,0.0,0.0,5,6,-14.145866686884972,0.0,-9.210340371976182,0
0,0.0,0.0,6,5,-14.897961146197403,0.0,-9.210340371976182,0
0,0.0,0.0,42,17,-13.71929483427052,0.0,-9.210340371976182,0
