CN,JAC,AA,PA,TN,PG,Katz,Random Walk with Restart,label
1,0.06666666666666667,0.21036349912285582,60,15,-11.913310742122679,0.00011447682435497646,-9.065113097209199,0
0,0.0,0.0,21,10,-12.456414124823388,8.270312490978796e-06,-9.070752679300156,0
2,0.047619047619047616,0.7016353926663197,448,42,-10.548266226133656,0.000244121076952364,-8.681423697294239,0
0,0.0,0.0,36,13,-12.159466569338283,1.385803327960396e-06,-9.153324012501864,0
0,0.0,0.0,5,6,-12.837129496569785,1.692139814002665e-07,-9.174209120604786,0
0,0.0,0.0,22,23,-12.025826652683577,7.507053662780362e-06,-9.067783383322443,0
0,0.0,0.0,7,8,-12.61691748384521,1.0108039624510748e-06,-9.092037496251109,0
0,0.0,0.0,72,18,-11.640663052029186,2.4986809192259653e-06,-9.156152394829192,0
0,0.0,0.0,8,6,-12.894807602473886,1.4991513398318615e-06,-9.131749148562688,0
1,0.2,0.21036349912285582,5,5,-12.994593184595349,0.00010290298862443637,-9.005190907300864,0
2,0.06896551724137931,0.5187960193548092,108,29,-11.524011226806618,0.00023729178778874015,-8.759911624695574,0
2,0.08333333333333333,0.6126582469236397,169,24,-11.258006013746185,0.0002505157720157823,-8.620404516513451,0
0,0.0,0.0,28,11,-12.2292599536763,4.294935278914203e-06,-9.003647673619382,0
1,0.047619047619047616,0.21036349912285582,120,21,-11.5433513549197,0.00012018542103416341,-9.038946017059146,0
0,0.0,0.0,108,21,-11.559553593776148,6.580862896754613e-06,-9.117125111069724,0
0,0.0,0.0,9,10,-12.492242218479618,8.656294639747257e-08,-9.16807614495624,0
0,0.0,0.0,72,18,-11.760384785444879,2.910742702030642e-06,-9.131059790127974,0
0,0.0,0.0,110,27,-11.544699819985349,1.6408471069603514e-05,-9.050803924133142,0
0,0.0,0.0,44,15,-12.056386241037664,1.568342366714002e-06,-9.146577183283593,0
5,0.1,1.8757804115801036,574,50,-10.318196172714764,0.0005696297333799183,-8.358236649593778,0
0,0.0,0.0,60,17,-11.888127662669842,5.960943805269262e-06,-9.12989555849892,0
1,0.045454545454545456,0.30337898957548265,102,22,-11.59435543431594,0.00011036187757229956,-8.887760603324383,0
1,0.06666666666666667,0.32346789719995966,64,15,-11.825593213528837,0.0001062048139951209,-8.88187315465661,0
1,0.125,0.21036349912285582,8,8,-12.64527238014645,0.00010267438853184621,-8.999302403654333,0
