CN,JAC,AA,PA,TN,PG,Katz,Random Walk with Restart,label
0,0.0,0.0,300,40,-14.633395172019497,2.2999275014623546e-20,-9.19291558294185,0
0,0.0,0.0,327,112,-14.227929959690744,8.999688116880448e-20,-9.024458718894184,0
2,0.029850746268656716,0.43208520607822,590,67,-14.11503644491107,1.9999462010046812e-14,-9.129363902632493,0
0,0.0,0.0,2378,99,-12.77279942112493,3.999882172249579e-20,-9.178808497883733,0
0,0.0,0.0,186,65,-14.660572870928164,1.999937601237299e-21,-9.186566012761531,0
0,0.0,0.0,60,32,-15.647045101870948,1.6999434411801923e-20,-9.157750929008666,0
0,0.0,0.0,1760,87,-13.056202785728686,4.899858092630219e-20,-9.180519248343733,0
2,0.06666666666666667,0.46413312591432143,60,30,-15.589404601652614,1.9999419011360206e-14,-8.95133654707406,0
1,0.024390243902439025,0.19983959204533294,360,41,-14.443176874905884,9.999742004708923e-15,-9.164384400905949,0
0,0.0,0.0,19,20,-16.336584302755032,2.199900242781244e-27,-9.204499122373633,0
1,0.010416666666666666,0.2462680897249904,2010,96,-12.881605457497361,9.999753004353337e-15,-9.156637880834339,0
3,0.022556390977443608,0.7776854479624292,1024,133,-13.40474128461619,9.999803002941663e-08,-7.618607506918785,0
3,0.06976744186046512,0.5568181424513123,304,43,-14.702047111659628,2.9999249013063594e-14,-9.092592566491465,0
0,0.0,0.0,23,24,-16.094506434060726,1.0599536272437706e-26,-9.202538517752208,0
1,0.022727272727272728,0.21667441716858624,434,44,-14.26374309292542,9.999789002906471e-15,-9.11568699491686,0
0,0.0,0.0,836,60,-13.6820013926787,7.999785803623907e-21,-9.189770193840273,0
1,0.0196078431372549,0.18684933715563834,100,51,-15.219558695785828,9.999747004376327e-15,-9.081096237249707,0
0,0.0,0.0,4,5,-16.858158800228303,9.999732002790024e-29,-9.209651720559844,0
0,0.0,0.0,32,18,-15.992280804851639,1.999923001870322e-21,-9.202149668718524,0
0,0.0,0.0,111,40,-15.159526201417869,2.999915501473989e-21,-9.1970135904287,0
0,0.0,0.0,2,3,-17.77035204995444,4.999770906383808e-28,-9.207543289004478,0
19,0.16379310344827586,4.30413159140343,4550,116,-12.250826537879968,1.8999549607320965e-13,-8.850404639727067,0
0,0.0,0.0,118,61,-14.763976764483273,3.999854503378313e-21,-9.113933440534948,0
0,0.0,0.0,12,13,-16.022198441819356,8.999513415575514e-35,-9.208610686347383,0
3,0.0625,0.6024781028594753,230,48,-14.781547907472554,2.999918701518104e-14,-9.04220809965355,0
0,0.0,0.0,38,39,-15.624086108212403,9.999760002863096e-22,-9.185272933483464,0
0,0.0,0.0,20,21,-16.17003519814424,3.9998473036680576e-21,-9.129359911354811,0
0,0.0,0.0,375,40,-14.468515653627104,1.1999641106768558e-20,-9.19358028220261,0
0,0.0,0.0,108,39,-15.279086162318414,8.499655188555869e-27,-9.200017739259522,0
0,0.0,0.0,261,90,-14.128526326061781,1.9999715996632324e-21,-9.120244272972496,0
0,0.0,0.0,58,31,-15.772997940008121,1.19996084080978e-20,-9.178694789728972,0
0,0.0,0.0,36,15,-16.2217709632704,1.9999408010846064e-21,-9.202026552458214,0
1,0.04,0.2029498292397236,69,25,-15.389170670137233,9.999717005433111e-15,-9.116299854096138,0
1,0.013513513513513514,0.21667441716858624,1376,74,-13.282263785336854,9.999832001403799e-15,-9.145702000749077,0
0,0.0,0.0,525,50,-14.150255983223797,1.5999513909459642e-20,-9.190530198228455,0
1,0.03225806451612903,0.1778076935154275,156,31,-15.082618583314419,9.999725005146701e-15,-9.166219028917578,0
1,0.04,0.28851299747483533,165,25,-15.109067373463969,9.999722005245907e-15,-9.08984599008438,0
0,0.0,0.0,111,40,-15.225408592930501,1.7999392412965036e-20,-9.14375276167458,0
0,0.0,0.0,144,24,-15.288338018616315,2.999914601548787e-21,-9.204554751070845,0
0,0.0,0.0,260,36,-14.803100776760807,5.999824203324874e-21,-9.198884599564973,0
0,0.0,0.0,9,10,-16.94013517557911,4.999819704134426e-21,-9.188467256946016,0
0,0.0,0.0,3154,121,-12.406438272926458,5.69980732421174e-20,-9.16047564712568,0
1,0.25,0.24228940250618344,6,4,-17.295754634868022,9.999702005928698e-15,-9.00205937385269,0
0,0.0,0.0,8,6,-17.220285311208816,3.9998642029183196e-21,-9.199260628845156,0
0,0.0,0.0,58,59,-15.22097632222216,5.9998210032525596e-21,-9.118364809208606,0
1,0.0136986301369863,0.1778076935154275,213,73,-14.637310639255816,9.999755004182137e-15,-9.059414968426992,0
2,0.03636363636363636,0.4741337431555076,806,55,-13.855383583451534,1.9999593005191236e-14,-9.05003250674068,0
9,0.140625,1.9537872641684815,1302,64,-13.355696749859755,8.999773103930939e-14,-8.986290274682093,0
2,0.047619047619047616,0.36395696775906794,259,42,-14.637550531108829,1.999949600866798e-14,-9.104921159025874,0
0,0.0,0.0,15,16,-16.58816415010113,9.999649007956947e-22,-9.201957096375072,0
0,0.0,0.0,8,9,-17.035971942050075,9.99972900417005e-22,-9.19740926923013,0
1,0.02564102564102564,0.18316266013590157,364,39,-14.543602435534552,9.999725005216014e-15,-9.180208884437102,0
0,0.0,0.0,48,16,-16.15129576370848,5.999782105043423e-21,-9.193796817170849,0
0,0.0,0.0,84,25,-15.019188219701537,4.999842503097608e-21,-9.177180057061051,0
0,0.0,0.0,9,10,-16.777175760502885,5.9997723054522e-21,-9.180601586623755,0
2,0.09523809523809523,0.41426927613860554,112,21,-15.501239797027186,1.9999429011059115e-14,-9.125945233551944,0
0,0.0,0.0,40,13,-15.847034370061968,1.9999339013934943e-21,-9.197992316370868,0
0,0.0,0.0,27,28,-15.951937555327,9.999653007764954e-22,-9.188507993749214,0
0,0.0,0.0,60,16,-15.760001150334713,9.999727004644533e-22,-9.205811036217703,0
1,0.1111111111111111,0.20745329021977946,9,9,-16.9051237151958,9.99970100597699e-15,-9.067217020671336,0
0,0.0,0.0,1890,93,-13.061028309907236,9.699693156220259e-20,-9.159833585262326,0
