CN,JAC,AA,PA,TN,PG,Katz,Random Walk with Restart,label
0,0.0,0.0,80,21,-14.528205296425464,2.9998541042585714e-28,-9.123900019196704,0
0,0.0,0.0,1,2,-17.49390332840863,0.0,-9.210340371976182,0
0,0.0,0.0,6,7,-17.01740108901551,9.999601009952495e-22,-8.237517608469231,0
0,0.0,0.0,1,2,-18.401516583337425,9.999011053822353e-64,-9.208561579879317,0
0,0.0,0.0,1,2,-18.258958175033314,5.999528220872046e-49,-9.2101026455943,0
0,0.0,0.0,1,2,-18.403410192439246,2.999821306214173e-35,-9.204745600920331,0
0,0.0,0.0,1,2,-18.43382311373454,9.999405020673953e-36,-9.207624470140127,0
0,0.0,0.0,2,3,-17.657028131054652,2.999790708349497e-42,-9.206681503029841,0
0,0.0,0.0,3,4,-17.311379448247372,0.0,-9.210340371976182,0
0,0.0,0.0,4,5,-17.27663589713309,1.999841307086805e-49,-9.209123874217994,0
0,0.0,0.0,38,39,-14.901905162310857,2.9998252059403825e-35,-9.163280475929067,0
0,0.0,0.0,6,7,-16.9815880413033,2.999850004501213e-28,-8.101005981951332,0
0,0.0,0.0,7,8,-16.523122113441758,1.599890454288301e-41,-9.20213878309271,0
0,0.0,0.0,1,2,-18.47726333791441,3.0996988860915494e-62,-9.210320779634008,0
0,0.0,0.0,1,2,-18.3338584337566,1.9998606055547714e-42,-9.209372387253248,0
0,0.0,0.0,1,2,-18.325620175127902,0.0,-9.210340371976182,0
0,0.0,0.0,1,2,-18.188002560106852,0.0,-9.210340371976182,0
0,0.0,0.0,1,2,-18.465872350267475,2.999796607881274e-42,-9.208334109626554,0
0,0.0,0.0,1,2,-18.420526555111188,9.999404020751039e-36,-9.209803353036644,0
0,0.0,0.0,14,15,-16.089760033528243,1.9999229018585738e-21,-9.080345328651662,0
0,0.0,0.0,5,6,-15.842973761966851,0.0,-9.210340371976182,0
0,0.0,0.0,21,22,-15.561052190101673,9.999439018334734e-36,-9.206247164196242,0
0,0.0,0.0,4,4,-16.46908065739054,0.0,-9.210340371976182,0
0,0.0,0.0,2,3,-17.457641376723785,0.0,-9.210340371976182,0
0,0.0,0.0,1,2,-18.38881254713909,1.999841007114534e-49,-9.20854037593042,0
0,0.0,0.0,2,3,-17.20631526359153,0.0,-9.210340371976182,0
0,0.0,0.0,1,2,-18.456658112398706,5.999461126901883e-56,-9.209819526819228,0
0,0.0,0.0,1,2,-18.221730160868958,9.999207035396853e-50,-9.209770807574152,0
0,0.0,0.0,1,2,-18.354076540222767,3.99964081792522e-56,-9.207055723782394,0
0,0.0,0.0,1,2,-18.591873070182785,1.999841407077934e-49,-9.209727199225659,0
0,0.0,0.0,8,6,-16.537427936572723,8.999023457818975e-70,-9.210296031436346,0
0,0.0,0.0,30,31,-15.156935158648299,3.999841303941538e-21,-8.743881328014833,0
0,0.0,0.0,13,14,-15.816871065265328,5.9995342203459085e-49,-9.209880595984645,0
0,0.0,0.0,20,12,-15.360279034047863,5.599556639761837e-48,-9.210159117454182,0
0,0.0,0.0,3,4,-17.53654343066749,9.999010053932154e-64,-9.210276084351213,0
0,0.0,0.0,1,2,-17.43387284775472,0.0,-9.210340371976182,0
0,0.0,0.0,1,2,-17.540131174026122,0.0,-9.210340371976182,0
0,0.0,0.0,1,2,-18.408062192467394,2.999821106229084e-35,-9.206066359568698,0
0,0.0,0.0,1,2,-18.1477471544434,6.999378430673495e-56,-9.21024946700973,0
0,0.0,0.0,38,21,-14.294999816525022,0.0,-9.210340371976182,0
0,0.0,0.0,68,36,-14.245179774977885,6.99959381375577e-35,-9.20118343225086,0
0,0.0,0.0,1,2,-18.568642144211715,2.9997921882340525e-41,-9.209077265414093,0
0,0.0,0.0,1,2,-17.42912975856907,0.0,-9.210340371976182,0
0,0.0,0.0,2,3,-17.842072311716688,2.999820406276399e-35,-9.196516967723841,0
0,0.0,0.0,16,17,-15.651884179400597,9.999504014791543e-29,-9.192796056397675,0
0,0.0,0.0,1,2,-18.57817664341982,2.999850704462226e-28,-9.14095633760332,0
0,0.0,0.0,1,2,-18.176853045202712,4.999401438826502e-77,-9.210321136258026,0
0,0.0,0.0,1,2,-18.52337756718762,1.9998817040866314e-35,-9.206834593449145,0
