CN,JAC,AA,PA,TN,PG,Katz,Random Walk with Restart,label
0,0.0,0.0,15,8,-12.65371814577751,4.999820904025499e-21,-9.133251711481687,0
0,0.0,0.0,47,48,-11.659635232411773,9.999633508435094e-21,-8.626885167602072,0
1,0.009345794392523364,0.2176173967531202,107,107,-10.51030325071467,9.999752004063743e-15,-8.193668738232967,0
4,0.14814814814814814,1.0295426532674727,108,27,-11.914334644776412,3.999887802114006e-14,-8.514135450708618,0
0,0.0,0.0,9,6,-12.985528799990455,4.999814404330689e-21,-9.13428432200927,0
0,0.0,0.0,14,9,-12.797845736170014,6.999744405858354e-21,-9.054385068120649,0
0,0.0,0.0,84,25,-11.645353422558298,1.9999249017710552e-20,-8.896109303411624,0
1,0.0136986301369863,0.23867452129227654,345,73,-10.268862579999134,9.999763003714446e-15,-8.539560011050687,0
0,0.0,0.0,2,3,-12.89729007117873,9.999530013314296e-29,-9.199385014308188,0
0,0.0,0.0,12,8,-12.631346451435071,3.999853903349997e-21,-9.121862602830365,0
0,0.0,0.0,21,10,-12.66767944760538,3.999854003354775e-21,-9.126101763230967,0
1,0.07142857142857142,0.23954728796177818,14,14,-12.68970032511322,9.999711005602604e-15,-8.80647081237025,0
0,0.0,0.0,21,10,-11.901343579623418,7.999620610848441e-28,-9.169051972212454,0
2,0.09523809523809523,0.47985500038169004,112,21,-12.02558260804689,1.999946500964224e-14,-8.844427506086632,0
0,0.0,0.0,28,11,-12.263456285618958,6.999748405681045e-21,-9.107351863904281,0
0,0.0,0.0,10,11,-12.763775259022525,3.799824334892762e-27,-9.140280912535218,0
1,0.1,0.2597159513366638,10,10,-12.77585010384363,9.999707005746603e-15,-8.783242080064065,0
1,0.1,0.2176173967531202,10,10,-12.7466891791371,9.999707005759805e-15,-8.92472232119302,0
3,0.04838709677419355,0.7430965317299202,550,62,-10.287426749423556,2.999918001506906e-14,-8.613371248875149,0
0,0.0,0.0,20,9,-12.61902669246857,4.9998133043877474e-21,-9.132345631613486,0
0,0.0,0.0,14,9,-11.904109734099377,9.999528013430486e-29,-9.191534312031695,0
0,0.0,0.0,21,22,-12.10159422817435,7.999691207481258e-21,-8.92144858842525,0
0,0.0,0.0,14,15,-12.312017784293317,1.9999242018014647e-21,-9.077101731422527,0
0,0.0,0.0,45,18,-11.480774052654088,1.9999049327231988e-27,-9.13100069713357,0
0,0.0,0.0,9,6,-12.796908717744143,1.9999260017230767e-21,-9.157947669794355,0
3,0.05263157894736842,0.7430965317299202,275,57,-10.751146562610359,2.999917301533317e-14,-8.522002462483558,0
6,0.1935483870967742,1.580848539347886,210,31,-11.486840780719454,5.999831603176374e-14,-8.508689886810703,0
0,0.0,0.0,94,49,-11.147574660586367,2.9998927024092576e-21,-9.000130044958233,0
0,0.0,0.0,21,10,-11.890386404730357,9.999615009286513e-22,-9.158492413880058,0
0,0.0,0.0,207,72,-10.277716866568145,3.9998576031838904e-21,-8.784272908951191,0
1,0.029411764705882353,0.21399885090314033,34,34,-11.933140646397927,9.999723005169113e-15,-8.722138155112098,0
1,0.020833333333333332,0.27691716949099915,48,48,-11.203473392357784,9.999714005496405e-15,-8.520942821282208,0
6,0.21428571428571427,1.4455032453608503,289,28,-11.243014296175577,5.999832703136487e-14,-8.630030783914737,0
0,0.0,0.0,6,7,-12.204851099846975,9.999419019731763e-36,-9.199565704325297,0
1,0.125,0.2281984023259549,14,8,-12.912523664641215,9.999710005643202e-15,-8.972025927667854,0
2,0.5,1.2972447635798567,9,4,-11.719104410895737,9.99980200294066e-08,-4.112801148532924,0
4,0.058823529411764705,0.9787165771041322,396,68,-10.582094072611348,3.999891201993513e-14,-8.414426940142125,0
0,0.0,0.0,8,9,-12.811074468325973,2.9998855027472076e-21,-9.047650988330693,0
0,0.0,0.0,2,3,-12.916992179181964,1.3999050336867484e-41,-9.20164022918963,0
22,0.2619047619047619,5.974471192799614,2448,84,-9.209280676433188,2.1999412610544347e-13,-7.91150600282804,0
0,0.0,0.0,4,5,-13.000344273628386,2.999880902958809e-21,-8.520541500488848,0
1,0.2,0.25307255337802126,8,5,-13.237224485278858,9.999704005865393e-15,-8.937534684406394,0
1,0.05555555555555555,0.21399885090314033,60,18,-11.989585503309426,9.999727005021527e-15,-8.911915272370678,0
14,0.34146341463414637,3.5871863977629577,756,41,-10.683130926398947,1.3999623706801225e-13,-8.287612059640583,0
0,0.0,0.0,28,11,-12.602389217461464,6.999763204974356e-21,-9.074661664320113,0
