CN,JAC,AA,PA,TN,PG,Katz,Random Walk with Restart,label
0,0.0,0.0,5,6,-16.8052990151118,9.999303027770962e-43,-9.204970650484896,0
0,0.0,0.0,33,14,-15.612763805853664,5.999706908596301e-28,-9.102809102895085,0
0,0.0,0.0,3,4,-17.295507091723636,4.999653313740239e-42,-9.188465792347358,0
0,0.0,0.0,221,30,-14.014797620905536,9.999606009723372e-21,-8.972570564828843,0
0,0.0,0.0,32,12,-15.377582066310048,2.9998806029723194e-21,-9.008586748243431,0
0,0.0,0.0,22,13,-15.965301522472219,9.999516014101978e-29,-9.201028369295617,0
0,0.0,0.0,10,11,-16.54959347445014,2.9998010075518814e-42,-9.206424027833725,0
0,0.0,0.0,22,13,-16.245983502094504,3.9997758073770726e-35,-9.195593631100845,0
0,0.0,0.0,16,8,-15.77877039181672,9.999405020661846e-36,-9.17689629381707,0
0,0.0,0.0,54,29,-15.497189752796917,2.899807376364328e-40,-9.181280036494506,0
0,0.0,0.0,81,30,-15.856565426456731,1.9999083025459422e-28,-9.175205677172507,0
0,0.0,0.0,18,11,-16.374315867996245,6.999655710170006e-28,-9.107187201160158,0
3,0.12,0.9732945777361268,195,25,-14.685275240115136,2.999915501589994e-14,-7.7669001962516155,0
0,0.0,0.0,2,3,-17.034587272586176,9.999402020867439e-36,-9.194628991422853,0
0,0.0,0.0,49,14,-15.578834242154109,7.999610111411981e-28,-9.1367300182359,0
0,0.0,0.0,24,14,-16.04687272944136,3.6997531794376497e-41,-9.190895060389643,0
0,0.0,0.0,2,3,-16.919107938259376,3.999615720319963e-63,-9.210018404350933,0
0,0.0,0.0,112,23,-14.972529449222122,1.9999236018277235e-21,-9.065368697263622,0
0,0.0,0.0,15,8,-15.988543868803731,3.799743539904473e-41,-9.202397545601034,0
0,0.0,0.0,1,2,-18.224413387708605,1.6998723154164977e-48,-9.209066006705363,0
0,0.0,0.0,36,13,-15.737204734104715,9.99950701460144e-29,-9.202275780137422,0
0,0.0,0.0,54,29,-15.125297267481105,1.5998956738945144e-41,-9.193750917481601,0
0,0.0,0.0,52,17,-15.411140056639244,2.9998806029734986e-21,-9.04388448850656,0
0,0.0,0.0,198,29,-14.165990370847554,7.999584512668939e-35,-9.195306087907415,0
0,0.0,0.0,10,7,-16.186361652324273,3.999725410779058e-42,-9.20401206068755,0
0,0.0,0.0,13,14,-15.628850999984376,9.999317026655519e-43,-9.181929496229792,0
0,0.0,0.0,4,5,-17.368192402431234,5.9997000090052175e-28,-9.149547593047021,0
0,0.0,0.0,3,4,-17.628386662439745,2.999798887719179e-41,-9.204732453622123,0
0,0.0,0.0,9,6,-16.261155454743168,3.999688013694012e-49,-9.205539492017715,0
0,0.0,0.0,42,17,-14.982986692779232,1.4998963240975083e-41,-9.19682816850148,0
0,0.0,0.0,4,5,-17.39623325723358,1.9998857038083714e-35,-9.187546090974816,0
0,0.0,0.0,35,12,-15.154545823423017,9.999516014066777e-29,-9.183739398572296,0
0,0.0,0.0,1,2,-16.846017892360017,0.0,-9.210340371976182,0
0,0.0,0.0,37,38,-14.96195784699562,6.999521418715535e-42,-9.173046081175375,0
0,0.0,0.0,4,4,-16.51559091106258,9.999304027690165e-43,-9.207872140852556,0
0,0.0,0.0,3,4,-17.102696958830172,9.999332025486461e-43,-9.20489197150219,0
0,0.0,0.0,6,5,-16.918362539967873,1.999885203607819e-42,-9.187815124092609,0
0,0.0,0.0,10,11,-15.62339255029676,0.0,-9.210340371976182,0
0,0.0,0.0,16,17,-16.054746772201327,3.99972601073322e-42,-9.192569820651595,0
0,0.0,0.0,2,3,-17.546390730053112,9.999446017834454e-36,-9.205272839184046,0
0,0.0,0.0,5,6,-16.806223013840764,1.1899072420718894e-47,-9.206173465650735,0
0,0.0,0.0,7,8,-15.837248827254452,9.999120043048549e-57,-9.209581895874386,0
0,0.0,0.0,24,14,-15.389121268469976,3.4997577995845976e-41,-9.188641726673339,0
0,0.0,0.0,126,23,-13.999807939904118,9.999424019356592e-36,-9.191800843027206,0
0,0.0,0.0,5,6,-17.070297719810775,9.999416019926676e-36,-9.180176154125913,0
0,0.0,0.0,13,14,-14.983407882246368,0.0,-9.210340371976182,0
0,0.0,0.0,30,13,-15.868821568503133,8.999393523411364e-42,-9.19839104322017,0
0,0.0,0.0,24,10,-15.050040281166133,9.999521013754587e-29,-9.150154821544291,0
0,0.0,0.0,24,14,-15.604790651038506,1.9998856038181295e-35,-9.191602006377204,0
0,0.0,0.0,3,4,-16.98123713022475,6.999413727317287e-56,-9.209655480364276,0
0,0.0,0.0,12,8,-16.308496938555624,1.9999010029408409e-28,-8.868773401459006,0
0,0.0,0.0,2,3,-17.83891673477294,9.999408020473344e-36,-9.207630312057807,0
0,0.0,0.0,27,12,-16.03117843974083,9.999503414817232e-28,-9.145122727620581,0
0,0.0,0.0,40,14,-15.160484706488944,4.999657713404e-42,-9.20196369903676,0
0,0.0,0.0,20,9,-15.58138095454972,9.999504014764551e-29,-9.135151107007477,0
0,0.0,0.0,2,3,-16.931776960523145,3.199687556676975e-69,-9.209958080771173,0
0,0.0,0.0,5,6,-16.468650344699206,3.9995618261906846e-70,-9.210090853641514,0
0,0.0,0.0,30,31,-16.039340328828196,1.9999060026704897e-28,-9.179091425841934,0
0,0.0,0.0,2,3,-17.636643270998245,2.099838047032439e-48,-9.208137867474244,0
0,0.0,0.0,2,3,-16.71359798032566,9.999030051765772e-64,-9.209830762467469,0
0,0.0,0.0,28,11,-16.855199399663626,2.9998803029920306e-21,-9.174655474976243,0
0,0.0,0.0,48,19,-14.717517011037717,9.999403020796336e-36,-9.180715367286748,0
1,0.25,0.23233119954249873,4,4,-16.959733456948385,9.999700006007689e-15,-8.950752926209159,0
0,0.0,0.0,54,15,-15.472541717922077,9.99946301678039e-36,-9.203923191085462,0
0,0.0,0.0,6,5,-15.709798256589718,1.999880004200816e-35,-9.046339062816934,0
0,0.0,0.0,60,16,-15.151620869773373,9.99950901448366e-29,-9.183888948200671,0
0,0.0,0.0,93,34,-15.626206332540782,9.999483015721328e-36,-9.197356285809132,0
0,0.0,0.0,7,8,-16.91558435121854,7.999462120684845e-42,-9.200445741255983,0
0,0.0,0.0,6,5,-16.584210586512455,1.9998805041672965e-35,-9.199903272298437,0
0,0.0,0.0,3,4,-17.81508217310086,2.9998013075247815e-42,-9.209037795719027,0
0,0.0,0.0,17,18,-15.229280834497736,9.999411020243064e-36,-9.166386390957642,0
0,0.0,0.0,6,7,-16.738752936916203,9.999503014836441e-29,-9.196901237836691,0
0,0.0,0.0,18,9,-16.309011627246974,1.2999356019163546e-27,-9.152418633232081,0
0,0.0,0.0,45,18,-15.75856591254881,3.999806905604071e-28,-9.170708574302864,0
0,0.0,0.0,4,5,-17.141802410499295,1.6998553768576684e-55,-9.209058706060299,0
0,0.0,0.0,4,5,-16.84080320905385,9.999280028899638e-50,-9.203986449217535,0
0,0.0,0.0,140,24,-15.595339330039721,7.999690007538549e-21,-9.154790013591478,0
0,0.0,0.0,1,2,-17.64963263141546,2.9997374127763114e-56,-9.208351426650232,0
0,0.0,0.0,5,6,-17.411126696328083,1.9998863037730327e-35,-9.199164472493273,0
0,0.0,0.0,20,21,-15.554144352666992,1.9998810041344194e-35,-9.178056120202713,0
0,0.0,0.0,138,29,-14.036981068799578,2.9998261058859253e-35,-9.166503995125506,0
0,0.0,0.0,9,10,-16.502851492805085,9.999502014886943e-29,-9.121697195284497,0
0,0.0,0.0,4,5,-16.916897621592007,9.999407020523952e-36,-9.199686492395655,0
0,0.0,0.0,9,6,-15.949411494735934,9.999209035201528e-50,-9.204905139750725,0
0,0.0,0.0,3,4,-16.943271049135667,1.999900602964949e-28,-9.101539259247232,0
0,0.0,0.0,4,5,-15.545805073960981,0.0,-9.210340371976182,0
0,0.0,0.0,3,4,-16.8407945763158,3.9996978128454625e-49,-9.20650091763428,0
0,0.0,0.0,104,21,-15.06421746958156,2.9998835028286158e-21,-8.99867385892503,0
0,0.0,0.0,24,10,-15.213803825577894,2.9998808029620396e-21,-8.655910131062033,0
0,0.0,0.0,42,23,-15.587851846338335,1.9999027028457128e-28,-9.189619763008176,0
0,0.0,0.0,8,9,-16.73238876519118,3.999766207985869e-35,-9.20002981400212,0
1,0.038461538461538464,0.36059250045511926,182,26,-14.773616852140416,9.999711005574306e-15,-8.597141291219511,0
0,0.0,0.0,10,11,-16.490951159851665,9.999604009809807e-22,-9.100168559254605,0
0,0.0,0.0,4,5,-17.253750533060632,2.9998210062352105e-35,-9.204045738032802,0
0,0.0,0.0,77,18,-14.586199599121358,9.99950301484134e-29,-9.1905612656195,0
0,0.0,0.0,90,33,-15.214177723375585,2.8997510969199136e-54,-9.205907768360547,0
0,0.0,0.0,3,4,-17.145548314600905,9.999404020732851e-36,-9.197607230291414,0
0,0.0,0.0,12,7,-15.51800094905495,1.9998646052473236e-42,-9.194468382996284,0
0,0.0,0.0,102,23,-14.920541197677775,9.999337025126774e-43,-9.206935599483714,0
0,0.0,0.0,2,3,-17.88323628393392,1.4998974740074848e-41,-9.200033839384773,0
0,0.0,0.0,333,46,-13.693313341174694,8.999648508599557e-21,-8.852736151748012,0
0,0.0,0.0,4,4,-16.306663769813646,3.999684214027834e-49,-9.204687396817809,0
0,0.0,0.0,16,17,-16.065318240278586,1.9998639052988726e-42,-9.204913962975082,0
0,0.0,0.0,128,36,-15.683447730489956,1.8999118524749653e-27,-9.173138377584031,0
0,0.0,0.0,20,9,-15.378680140840322,3.999701012601661e-49,-9.207849874645003,0
0,0.0,0.0,2,3,-17.445661274423735,9.999257030963038e-50,-9.207049806074348,0
0,0.0,0.0,60,19,-15.295164923165654,2.999832705479174e-35,-9.198168238912837,0
0,0.0,0.0,136,25,-14.927836381056002,9.999560011644252e-29,-9.188392462918085,0
0,0.0,0.0,9,6,-16.192733305254574,3.999643617648942e-56,-9.208631055753838,0
0,0.0,0.0,39,16,-15.544522800659674,9.999610009515805e-22,-9.112390056852284,0
0,0.0,0.0,3,4,-17.793198950713453,1.9999008029567092e-28,-9.195201877123324,0
0,0.0,0.0,14,15,-16.252559748463604,9.999505014712454e-29,-9.175470342516107,0
0,0.0,0.0,192,52,-14.492902713370732,9.999614008987324e-29,-9.175479505764066,0
0,0.0,0.0,26,15,-15.523131186582773,7.999600911953503e-28,-9.047679054136594,0
0,0.0,0.0,20,9,-16.364361029209853,9.999619009082823e-22,-9.126196361999426,0
0,0.0,0.0,162,83,-14.971789224099364,4.999759107031445e-28,-9.0643973762229,0
0,0.0,0.0,1,2,-17.4725535155809,9.999205035567816e-50,-9.208490590363622,0
0,0.0,0.0,11,12,-16.6819093029802,3.599758519278457e-41,-9.203511569723707,0
